,playlist_id,num_tracks,num_albums,num_followers,num_artists,avg_song_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_popularity
0,0,52,47,1,37,221777,0.757,0.861,0.061,0.115,0.0,0.161,0.531,79.0
1,1,39,23,1,21,298884,0.532,0.6629999999999999,0.11699999999999999,0.16699999999999998,0.01,0.17800000000000002,0.555,73.286
2,2,64,51,1,31,219374,0.66,0.602,0.046,0.305,0.01,0.151,0.42700000000000005,63.0
3,3,126,107,1,86,229572,0.486,0.532,0.071,0.37799999999999995,0.303,0.141,0.406,65.857
4,4,17,16,2,16,255017,0.495,0.8079999999999999,0.042,0.006999999999999999,0.0,0.149,0.515,75.0
5,5,80,71,1,56,239457,0.7040000000000001,0.675,0.078,0.087,0.002,0.207,0.731,73.0
6,6,16,15,1,13,213030,0.47700000000000004,0.753,0.051,0.02,0.0,0.266,0.703,71.667
8,7,46,37,2,23,216281,0.512,0.711,0.057,0.10800000000000001,0.073,0.22,0.647,70.714
11,8,134,117,1,99,266089,0.63,0.602,0.073,0.156,0.259,0.212,0.45899999999999996,59.7
13,9,13,13,1,12,233779,0.4,0.337,0.027999999999999997,0.457,0.002,0.131,0.195,65.5
14,10,103,79,1,61,250849,0.46799999999999997,0.7120000000000001,0.039,0.07,0.027000000000000003,0.172,0.49200000000000005,72.074
16,11,105,94,1,81,235199,0.596,0.578,0.054000000000000006,0.57,0.024,0.193,0.317,65.0
17,12,79,69,1,61,223129,0.557,0.8109999999999999,0.064,0.071,0.0,0.17800000000000002,0.615,77.429
18,13,68,66,1,55,234080,0.474,0.638,0.05,0.204,0.29600000000000004,0.09699999999999999,0.52,76.333
19,14,85,82,1,70,254438,0.466,0.317,0.032,0.5710000000000001,0.107,0.121,0.282,41.2
21,15,15,15,1,15,247282,0.55,0.54,0.027999999999999997,0.354,0.0,0.10400000000000001,0.478,72.75
22,16,42,39,2,37,216123,0.6579999999999999,0.605,0.057999999999999996,0.251,0.0,0.156,0.45399999999999996,78.0
23,17,20,16,1,7,292196,0.39899999999999997,0.9540000000000001,0.105,0.004,0.005,0.336,0.308,68.667
24,18,7,5,1,3,241975,0.6890000000000001,0.5539999999999999,0.034,0.046,0.0,0.109,0.557,81.5
25,19,41,38,2,31,221153,0.648,0.82,0.109,0.171,0.001,0.244,0.49700000000000005,58.2
28,20,81,57,7,37,232484,0.861,0.594,0.19399999999999998,0.032,0.006999999999999999,0.13699999999999998,0.377,83.667
29,21,40,39,1,39,201490,0.583,0.5760000000000001,0.051,0.391,0.0,0.11699999999999999,0.534,69.5
31,22,97,94,1,83,212310,0.653,0.789,0.09,0.125,0.012,0.255,0.6409999999999999,76.4
32,23,106,85,1,72,232609,0.495,0.61,0.036000000000000004,0.315,0.036000000000000004,0.289,0.414,72.571
34,24,80,72,1,65,226872,0.588,0.764,0.05,0.032,0.086,0.266,0.354,62.0
35,25,70,58,1,52,217816,0.655,0.64,0.052000000000000005,0.106,0.0,0.126,0.441,68.154
37,26,72,69,1,55,230925,0.728,0.698,0.195,0.10800000000000001,0.021,0.11900000000000001,0.527,75.833
38,27,53,51,1,42,238428,0.6709999999999999,0.649,0.063,0.20199999999999999,0.0,0.18899999999999997,0.545,78.3
40,28,85,80,6,71,219679,0.617,0.6509999999999999,0.073,0.266,0.013000000000000001,0.195,0.425,72.083
41,29,209,105,1,55,235375,0.49700000000000005,0.645,0.049,0.168,0.001,0.14,0.484,75.857
42,30,158,131,2,106,213665,0.628,0.7170000000000001,0.079,0.182,0.0,0.157,0.555,75.0
44,31,33,29,3,21,207191,0.602,0.713,0.08800000000000001,0.31,0.001,0.14300000000000002,0.455,73.75
45,32,76,69,1,54,246782,0.46799999999999997,0.713,0.045,0.12,0.005,0.22899999999999998,0.505,75.259
48,33,32,20,1,13,223850,0.546,0.754,0.048,0.092,0.0,0.13699999999999998,0.413,73.0
50,34,55,40,1,31,214145,0.56,0.778,0.08,0.256,0.0,0.358,0.613,66.25
51,35,54,36,1,25,237656,0.514,0.5,0.034,0.40399999999999997,0.0,0.18100000000000002,0.355,69.167
53,36,105,93,4,75,240225,0.7659999999999999,0.772,0.18600000000000003,0.092,0.001,0.265,0.636,77.077
55,37,151,74,3,27,225130,0.5479999999999999,0.526,0.034,0.308,0.003,0.11199999999999999,0.488,77.0
59,38,136,95,3,57,214552,0.56,0.728,0.079,0.15,0.0,0.14,0.52,68.538
60,39,66,64,2,64,247445,0.621,0.745,0.07400000000000001,0.122,0.086,0.158,0.628,73.90899999999999
62,40,33,32,2,23,244920,0.6990000000000001,0.797,0.27399999999999997,0.07200000000000001,0.0,0.413,0.42,66.0
63,41,38,36,1,34,223887,0.508,0.688,0.052000000000000005,0.373,0.001,0.326,0.665,65.667
64,42,105,73,1,61,206883,0.588,0.7020000000000001,0.040999999999999995,0.095,0.0,0.221,0.569,62.333
65,43,133,108,1,87,209518,0.621,0.745,0.067,0.073,0.053,0.207,0.659,76.75
66,44,81,80,1,72,216965,0.639,0.642,0.136,0.12,0.039,0.285,0.42100000000000004,66.0
68,45,174,90,1,47,233859,0.682,0.664,0.077,0.046,0.003,0.301,0.42100000000000004,80.0
71,46,26,24,1,23,223844,0.6709999999999999,0.7979999999999999,0.038,0.066,0.04,0.379,0.7,72.25
72,47,197,139,1,83,223610,0.8059999999999999,0.782,0.064,0.361,0.0,0.442,0.7120000000000001,76.0
73,48,34,32,1,31,222699,0.7340000000000001,0.654,0.047,0.214,0.0,0.125,0.64,80.6
74,49,5,5,1,5,284127,0.48200000000000004,0.583,0.038,0.295,0.0,0.24,0.212,50.0
