num_tracks,num_albums,num_followers,num_artists,avg_song_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_popularity
52,47,1,37,221777,0.757,0.861,0.061,0.115,0.0,0.161,0.531,79.0
39,23,1,21,298884,0.532,0.663,0.117,0.167,0.01,0.178,0.555,73.286
64,51,1,31,219374,0.66,0.602,0.046,0.305,0.01,0.151,0.427,63.0
126,107,1,86,229572,0.486,0.532,0.071,0.378,0.303,0.141,0.406,65.857
17,16,2,16,255017,0.495,0.808,0.042,0.007,0.0,0.149,0.515,75.0
80,71,1,56,239457,0.704,0.675,0.078,0.087,0.002,0.207,0.731,73.0
16,15,1,13,213030,0.477,0.753,0.051,0.02,0.0,0.266,0.703,71.667
53,52,1,48,239147,,,,,,,,
46,37,2,23,216281,0.512,0.711,0.057,0.108,0.073,0.22,0.647,70.714
21,20,1,18,204642,,,,,,,,
72,60,2,40,227825,,,,,,,,
134,117,1,99,266089,0.63,0.602,0.073,0.156,0.259,0.212,0.459,59.7
9,9,1,9,220150,,,,,,,,
13,13,1,12,233779,0.4,0.337,0.028,0.457,0.002,0.131,0.195,65.5
103,79,1,61,250849,0.468,0.712,0.039,0.07,0.027,0.172,0.492,72.074
7,5,1,3,259751,,,,,,,,
105,94,1,81,235199,0.596,0.578,0.054,0.57,0.024,0.193,0.317,65.0
79,69,1,61,223129,0.557,0.811,0.064,0.071,0.0,0.178,0.615,77.429
68,66,1,55,234080,0.474,0.638,0.05,0.204,0.296,0.097,0.52,76.333
85,82,1,70,254438,0.466,0.317,0.032,0.571,0.107,0.121,0.282,41.2
14,9,3,6,154681,,,,,,,,
15,15,1,15,247282,0.55,0.54,0.028,0.354,0.0,0.104,0.478,72.75
42,39,2,37,216123,0.658,0.605,0.058,0.251,0.0,0.156,0.454,78.0
20,16,1,7,292196,0.399,0.954,0.105,0.004,0.005,0.336,0.308,68.667
7,5,1,3,241975,0.689,0.554,0.034,0.046,0.0,0.109,0.557,81.5
41,38,2,31,221153,0.648,0.82,0.109,0.171,0.001,0.244,0.497,58.2
26,20,1,15,247773,,,,,,,,
12,11,1,8,241882,,,,,,,,
81,57,7,37,232484,0.861,0.594,0.194,0.032,0.007,0.137,0.377,83.667
40,39,1,39,201490,0.583,0.576,0.051,0.391,0.0,0.117,0.534,69.5
157,17,1,9,219510,,,,,,,,
97,94,1,83,212310,0.653,0.789,0.09,0.125,0.012,0.255,0.641,76.4
106,85,1,72,232609,0.495,0.61,0.036,0.315,0.036,0.289,0.414,72.571
17,14,1,11,252650,,,,,,,,
80,72,1,65,226872,0.588,0.764,0.05,0.032,0.086,0.266,0.354,62.0
70,58,1,52,217816,0.655,0.64,0.052,0.106,0.0,0.126,0.441,68.154
9,9,1,5,210626,,,,,,,,
72,69,1,55,230925,0.728,0.698,0.195,0.108,0.021,0.119,0.527,75.833
53,51,1,42,238428,0.671,0.649,0.063,0.202,0.0,0.189,0.545,78.3
58,34,1,17,217432,,,,,,,,
85,80,6,71,219679,0.617,0.651,0.073,0.266,0.013,0.195,0.425,72.083
209,105,1,55,235375,0.497,0.645,0.049,0.168,0.001,0.14,0.484,75.857
158,131,2,106,213665,0.628,0.717,0.079,0.182,0.0,0.157,0.555,75.0
21,9,1,9,218179,,,,,,,,
33,29,3,21,207191,0.602,0.713,0.088,0.31,0.001,0.143,0.455,73.75
76,69,1,54,246782,0.468,0.713,0.045,0.12,0.005,0.229,0.505,75.259
11,11,1,8,247690,,,,,,,,
15,15,1,14,257156,,,,,,,,
32,20,1,13,223850,0.546,0.754,0.048,0.092,0.0,0.137,0.413,73.0
45,37,1,23,335492,,,,,,,,
55,40,1,31,214145,0.56,0.778,0.08,0.256,0.0,0.358,0.613,66.25
54,36,1,25,237656,0.514,0.5,0.034,0.404,0.0,0.181,0.355,69.167
15,14,5,10,176477,,,,,,,,
105,93,4,75,240225,0.766,0.772,0.186,0.092,0.001,0.265,0.636,77.077
5,5,1,4,237184,,,,,,,,
151,74,3,27,225130,0.548,0.526,0.034,0.308,0.003,0.112,0.488,77.0
19,18,1,13,265093,,,,,,,,
19,16,1,15,241742,,,,,,,,
38,4,2,3,201057,,,,,,,,
136,95,3,57,214552,0.56,0.728,0.079,0.15,0.0,0.14,0.52,68.538
66,64,2,64,247445,0.621,0.745,0.074,0.122,0.086,0.158,0.628,73.909
13,9,1,8,222412,,,,,,,,
33,32,2,23,244920,0.699,0.797,0.274,0.072,0.0,0.413,0.42,66.0
38,36,1,34,223887,0.508,0.688,0.052,0.373,0.001,0.326,0.665,65.667
105,73,1,61,206883,0.588,0.702,0.041,0.095,0.0,0.221,0.569,62.333
133,108,1,87,209518,0.621,0.745,0.067,0.073,0.053,0.207,0.659,76.75
81,80,1,72,216965,0.639,0.642,0.136,0.12,0.039,0.285,0.421,66.0
8,8,1,7,209559,,,,,,,,
174,90,1,47,233859,0.682,0.664,0.077,0.046,0.003,0.301,0.421,80.0
18,15,1,13,236423,,,,,,,,
74,59,1,47,229188,,,,,,,,
26,24,1,23,223844,0.671,0.798,0.038,0.066,0.04,0.379,0.7,72.25
197,139,1,83,223610,0.806,0.782,0.064,0.361,0.0,0.442,0.712,76.0
34,32,1,31,222699,0.734,0.654,0.047,0.214,0.0,0.125,0.64,80.6
5,5,1,5,284127,0.482,0.583,0.038,0.295,0.0,0.24,0.212,50.0
14,14,2,12,241886,,,,,,,,
32,31,4,29,217656,0.692,0.71,0.068,0.202,0.0,0.253,0.568,74.4
24,15,1,12,270106,,,,,,,,
16,15,1,16,321317,,,,,,,,
16,15,1,14,254040,,,,,,,,
66,54,1,30,244651,0.583,0.53,0.033,0.403,0.002,0.14,0.331,61.231
64,38,1,24,252826,0.858,0.685,0.151,0.098,0.0,0.066,0.755,82.667
25,16,1,9,352121,,,,,,,,
69,48,2,22,228475,0.512,0.636,0.068,0.443,0.0,0.132,0.68,68.0
39,35,1,26,268144,0.6,0.78,0.155,0.13,0.134,0.244,0.558,75.333
72,63,2,45,250353,0.614,0.649,0.065,0.233,0.038,0.125,0.526,77.421
42,31,1,23,249817,0.772,0.374,0.093,0.22,0.0,0.15,0.395,76.5
24,22,1,20,231718,,,,,,,,
66,34,1,12,220147,,,,,,,,
92,85,1,82,252496,0.61,0.673,0.039,0.208,0.03,0.183,0.617,71.034
103,76,2,41,217803,0.586,0.749,0.065,0.174,0.0,0.49,0.814,53.0
68,54,3,37,267424,,,,,,,,
8,7,1,3,251510,,,,,,,,
98,82,1,67,222478,0.622,0.688,0.055,0.202,0.004,0.159,0.564,77.667
124,112,1,97,222405,0.557,0.548,0.043,0.377,0.008,0.171,0.38,69.591
170,133,1,90,236206,0.762,0.69,0.168,0.195,0.013,0.275,0.455,74.1
19,12,1,10,193645,,,,,,,,
233,56,1,42,234482,0.429,0.775,0.039,0.031,0.005,0.111,0.398,75.4
81,20,1,3,332115,,,,,,,,
42,38,2,35,199566,0.475,0.402,0.09,0.573,0.026,0.096,0.549,61.75
22,12,1,19,217383,,,,,,,,
22,21,1,21,223740,0.664,0.429,0.039,0.426,0.0,0.124,0.691,71.5
48,14,1,9,209398,,,,,,,,
