,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,0Z2SFlnXH9yMN36djUeqyE,Sidhu Moose Wala;Sunny Malton,Fuck Em All,Fuck Em All,64,234130,True,0.818,0.726,7,-6.694,0,0.216,0.0916,1.01e-06,0.106,0.345,92.013,4,hip-hop
1,5j9oCIiCtzjAHe7HH1vzDk,David Spade,My Fake Problems,Costco / Christmas,22,350901,True,0.587,0.8,4,-7.695,1,0.932,0.836,0.0,0.742,0.411,111.492,5,comedy
2,4YYODVaWvNDvqsYiQtJJrM,Chris Malinchak,So Good To Me (Remixes),So Good to Me - Radio Edit,56,158677,False,0.716,0.465,11,-12.776,1,0.0377,0.166,0.0171,0.147,0.416,120.988,4,deep-house
3,3T7aiE7ZBhAbj2xUzDCMUF,Joel Corry;Mabel,Cardio Tracks,I Wish,0,181728,False,0.686,0.856,9,-2.717,0,0.0426,0.0896,0.0,0.0648,0.733,123.997,4,dance
4,4DP7wqn3xlzHmRMOl5Lx6k,James Hype;Pia Mia,Beats Electro Mood,Good Luck,2,147597,False,0.701,0.836,8,-6.093,1,0.051,0.0721,0.0,0.248,0.712,125.927,4,deep-house
5,0Rmj9MueSoR3a4glqRPZS6,Fluke,Progressive History XXX,O.K.,13,468533,False,0.542,0.521,1,-11.441,1,0.0317,0.0864,0.52,0.103,0.0375,97.07,4,breakbeat
6,3LLezpquftwn7QI1rYIovM,Avery Anna,Narcissist,Narcissist,64,154026,False,0.322,0.48,1,-5.989,1,0.0492,0.746,0.0,0.113,0.304,73.476,4,country
7,0HWFz9sKXuXlIZgVUvOKPU,Daniel Deluxe,Exile,Territory,41,202494,False,0.619,0.649,6,-9.68,1,0.0414,0.01,0.916,0.535,0.298,80.886,4,club
8,77WQrnphsSnSxyQElfqvbg,Banda Cuisillos,Vive y Déjame Vivir,Vive Y Déjame Vivir,46,223333,False,0.742,0.569,7,-4.894,1,0.0624,0.68,0.0,0.0692,0.965,175.802,4,r-n-b
9,72LemHjeHA8EtI9n27Eith,Last Idol,ラストアルバム,僕たちは空を見る,23,295066,False,0.539,0.886,11,-2.46,1,0.0456,0.0118,0.0,0.332,0.538,131.99,4,j-idol
10,0Uftewfc4HjoNG4oPXkubS,Wolfgang Amadeus Mozart;Danielle Laval,Mozart - All Day Classics,"8 Variations on ‘Dieu d'amour’ from ‘Les mariages samnites’ by Grétry in F, K.352: 5. Variation IV",7,92986,False,0.369,0.179,5,-23.731,1,0.0505,0.993,0.948,0.0622,0.326,94.6,4,classical
11,4g9vBGwvz06hfW5UKTbYl4,BBS Paranoicos,Og Bo Toyy,Irreparable,38,156653,False,0.458,0.986,7,-3.693,1,0.131,0.000539,0.000114,0.237,0.294,97.078,4,punk-rock
12,1SglqUpCXT5ycQeCBIO1PO,Timothy Infinite,Weekend in São Paulo,Sunglasses,21,131006,False,0.445,0.499,11,-8.424,0,0.301,0.796,0.794,0.116,0.544,76.268,4,study
13,0PNdWZURGipjMwZsYn4NGc,Hans Zimmer;Matt Dunkley;John Altman,Hans Zimmer: Epic Scores,Shouldn't We Get To Know Each Other First - From ''No Time To Die'' Soundtrack,11,81666,False,0.0945,0.0542,0,-17.696,0,0.0366,0.906,0.661,0.106,0.035,174.819,4,german
14,4tcoy9e3wbgGlXDXusZEra,The Chemical Brothers,Halloween Hits,Go,1,260696,True,0.751,0.897,1,-3.602,1,0.0468,0.00957,2.72e-05,0.329,0.483,119.97,4,breakbeat
15,7H10smyqYA7G23KkZwfipP,Alan Tam,首麟影視歌,痴心的廢墟 - 電視劇「黃金十年」主題曲,18,259000,False,0.579,0.376,7,-11.764,0,0.0269,0.624,3.42e-05,0.146,0.143,75.616,4,cantopop
16,1PbMymOpXaxC6LVTCsCGW5,Sierra Hull,25 Trips,Middle Of The Woods,24,159026,False,0.691,0.426,7,-9.682,0,0.0677,0.827,0.000686,0.067,0.559,74.779,4,bluegrass
17,3iICKiDTyIK5qoVl2hXB2f,AP Dhillon,Two Hearts Never Break The Same,Summer High,63,177391,False,0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,4,pop
18,39eL80vvxZ36RXKfOZgrPb,Sam Smith,Best Road Trip Pop Tunes,Time After Time - Live At Abbey Road Studios,1,232128,False,0.595,0.459,11,-9.413,1,0.0461,0.571,0.000165,0.101,0.272,129.661,4,dance
19,5qiSzhwTxVWtvgqwANXXoP,Teqkoi;Snøw,I never wanna lose you,I never wanna lose you,52,151920,False,0.725,0.398,11,-13.445,0,0.0754,0.525,0.000326,0.112,0.148,130.051,4,chill
20,3OC2C8IpFhbUJTeMe55QYn,ENHYPEN,MANIFESTO : DAY 1,ParadoXXX Invasion,72,187490,False,0.727,0.863,1,-3.181,1,0.0879,0.0298,0.0,0.334,0.72,94.952,4,k-pop
21,1mFGNAQgPzXS5rpC8OLnnB,Jobii,Cornucopia,36mm,26,137294,False,0.534,0.475,8,-8.449,0,0.0763,0.519,0.932,0.117,0.487,78.16,4,study
22,4eyQm2LWSyCvLxx81gDhXy,Giuseppe Verdi;Anna Netrebko;Thomas Hampson;Wiener Philharmoniker;Carlo Rizzi,Verdi: La Traviata,"La traviata / Act II: ""Imponete"" ""Non amarlo ditegli""",20,303133,False,0.363,0.124,10,-20.811,1,0.0678,0.969,2.78e-06,0.0889,0.0534,120.156,4,opera
